COUNTRYCODE,YEAR,TERTIARYCOMPLETIONRATE,EDUCATIONGDPSHARE,NOBELLAUREATES,PATENTFILINGS
ROU,1885,0.0,,,
RUS,1885,0.1,,,
SDN,1885,0.0,,,
SEN,1885,0.0,,,
SLE,1885,0.0,,,
SLV,1885,0.0,,,
SRB,1885,0.0,,,
SWE,1885,0.2,,,703.0
SWZ,1885,0.0,,,
SYR,1885,0.0,,,
TGO,1885,0.0,,,
THA,1885,0.0,,,
TTO,1885,0.0,,,
TUN,1885,0.0,,,
TUR,1885,0.0,,,
TWN,1885,0.0,,,
UGA,1885,0.0,,,
URY,1885,0.1,,,
USA,1885,1.4,,,34697.0
VEN,1885,0.0,,,
YEM,1885,0.0,,,
ZAF,1885,0.0,,,
ZMB,1885,0.0,,,
ZWE,1885,0.0,,,
ARG,1886,,,,99.0
BEL,1886,,,,4339.0
CAN,1886,,,,2776.0
DEU,1886,,,,9991.0
ESP,1886,,,,1001.0
FRA,1886,,,,9289.0
GBR,1886,,,,12049.0
GBR,1886,,,,5127.0
ITA,1886,,,,1795.0
JPN,1886,,,,1384.0
NOR,1886,,,,137.0
NOR,1886,,,,347.0
PRT,1886,,,,82.0
SWE,1886,,,,604.0
USA,1886,,,,35161.0
ARG,1887,,,,109.0
BEL,1887,,,,4350.0
CAN,1887,,,,2874.0
DEU,1887,,,,9904.0
ESP,1887,,,,786.0
FRA,1887,,,,9111.0
GBR,1887,,,,12618.0
GBR,1887,,,,5433.0
ITA,1887,,,,1971.0
JPN,1887,,,,906.0
NOR,1887,,,,146.0
NOR,1887,,,,296.0
PRT,1887,,,,106.0
SWE,1887,,,,661.0
USA,1887,,,,35230.0
ARG,1888,,,,143.0
BEL,1888,,,,4360.0
CAN,1888,,,,2747.0
CHE,1888,,,,237.0
CHE,1888,,,,216.0
DEU,1888,,,,9869.0
ESP,1888,,,,1309.0
FRA,1888,,,,8848.0
GBR,1888,,,,13598.0
GBR,1888,,,,5505.0
ITA,1888,,,,1866.0
JPN,1888,,,,778.0
NOR,1888,,,,476.0
PRT,1888,,,,103.0
SWE,1888,,,,803.0
USA,1888,,,,34713.0
ARG,1889,,,,196.0
AUT,1889,,,,3248.0
BEL,1889,,,,4548.0
CAN,1889,,,,3279.0
CHE,1889,,,,1496.0
DEU,1889,,,,11645.0
ESP,1889,,,,1285.0
FRA,1889,,,,9446.0
GBR,1889,,,,14598.0
GBR,1889,,,,6410.0
IND,1889,,,,336.0
ITA,1889,,,,2049.0
JPN,1889,,,,1064.0
NOR,1889,,,,136.0
NOR,1889,,,,382.0
PRT,1889,,,,147.0
SWE,1889,,,,837.0
TUN,1889,,,,7.0
USA,1889,,,,39607.0
AFG,1890,0.0,,,
AFR,1890,0.0058999183,,,
ALB,1890,0.0,,,
AMN,1890,1.6100904,,,
AMS,1890,0.044572745,,,
ARG,1890,0.1,,,193.0
ASI,1890,0.0047522965,,,
AUS,1890,0.1,,,
AUT,1890,1.2,,,4266.0
BEL,1890,0.7,,,4257.0
BEN,1890,0.0,,,
BGD,1890,0.0,,,
BGR,1890,0.0,,,
BLZ,1890,0.0,,,
BOL,1890,0.1,,,
BRA,1890,0.0,,,
BRB,1890,0.0,,,
CAN,1890,0.3,,,3560.0
CHE,1890,0.2,,,1394.0
CHL,1890,0.2,,,
CHN,1890,0.0,,,
CIV,1890,0.0,,,
CMR,1890,0.0,,,
COD,1890,0.0,,,
COL,1890,0.1,,,
CRI,1890,0.0,,,
CUB,1890,0.1,,,
CYP,1890,0.0,,,
CZE,1890,0.3,,,
DEU,1890,0.6,,,11882.0
DNK,1890,0.1,,,
DOM,1890,0.0,,,
DZA,1890,0.1,,,
ECU,1890,0.0,,,
EGY,1890,0.0,,,
ESP,1890,0.3,,,1295.0
EUR,1890,0.31605852,,,
FIN,1890,0.3,,,
FJI,1890,0.0,,,
FRA,1890,0.4,,,9211.0
GBR,1890,0.4,,,14003.0
GBR,1890,0.4,,,7304.0
GHA,1890,0.0,,,
GMB,1890,0.0,,,
GRC,1890,0.3,,,
GTM,1890,0.0,,,
GUY,1890,0.0,,,
HKG,1890,0.0,,,
HND,1890,0.0,,,
HTI,1890,0.0,,,
HUN,1890,0.2,,,
IDN,1890,0.0,,,
IND,1890,0.0,,,319.0
IRL,1890,0.1,,,
IRN,1890,0.0,,,
IRQ,1890,0.0,,,
ISL,1890,0.0,,,
ITA,1890,0.3,,,2152.0
JAM,1890,0.0,,,
JOR,1890,0.0,,,
JPN,1890,0.1,,,1180.0
KEN,1890,0.0,,,
KHM,1890,0.0,,,
KOR,1890,0.0,,,
KWT,1890,0.0,,,
LBR,1890,0.0,,,
LBY,1890,0.0,,,
LKA,1890,0.0,,,
LSO,1890,0.0,,,
LUX,1890,0.0,,,
MAR,1890,0.0,,,
MEX,1890,0.1,,,
MLI,1890,0.0,,,
MLT,1890,0.0,,,
MMR,1890,0.0,,,
MOZ,1890,0.0,,,
MUS,1890,0.0,,,
MWI,1890,0.0,,,
MYS,1890,0.0,,,
NER,1890,0.0,,,
NIC,1890,0.0,,,
NLD,1890,0.3,,,
NOR,1890,0.6,,,143.0
NOR,1890,0.6,,,390.0
NPL,1890,0.0,,,
NZL,1890,0.3,,,
OWID_WRL,1890,0.17596339,,,
PAK,1890,0.0,,,
PAN,1890,0.0,,,
PER,1890,0.0,,,
PHL,1890,0.0,,,
