COUNTRYCODE,YEAR,MERCHANDISEEXPORTGDPSHARE
ARG,1886,33.90013
ARG,1887,29.56157
ARG,1888,36.68337
ARG,1889,27.6831
ARG,1890,19.53098
ARG,1891,15.0927
ARG,1892,16.67359
ARG,1893,19.77861
ARG,1894,19.81306
ARG,1895,20.82457
ARG,1896,24.89083
ARG,1897,18.36303
ARG,1898,21.67936
ARG,1899,28.73039
ARG,1900,21.50486
ARG,1901,25.05016
ARG,1902,23.5249
ARG,1903,29.23984
ARG,1904,29.16481
ARG,1905,28.21129
ARG,1906,22.6334
ARG,1907,24.16233
ARG,1908,28.09356
ARG,1909,24.71718
ARG,1910,21.25003
ARG,1911,20.0443
ARG,1912,28.03537
ARG,1913,27.13858
ARG,1914,21.33198
ARG,1915,27.75358
ARG,1916,24.46359
ARG,1917,22.92474
ARG,1918,24.98582
ARG,1919,30.86607
ARG,1920,29.77691
ARG,1921,20.54032
ARG,1922,20.50584
ARG,1923,20.52366
ARG,1924,36.22183
ARG,1925,21.32206
ARG,1926,19.68789
ARG,1927,23.83369
ARG,1928,22.66806
ARG,1929,20.02517
ARG,1930,13.94808
ARG,1931,18.03846
ARG,1932,17.77997
ARG,1933,14.14342
ARG,1934,16.59468
ARG,1935,16.88294
ARG,1936,16.15637
ARG,1937,19.32356
ARG,1938,12.25065
ARG,1939,13.30596
ARG,1940,11.61915
ARG,1941,10.96011
ARG,1942,11.7108
ARG,1943,13.54663
ARG,1944,7.27198
ARG,1945,11.83266
ARG,1946,14.39847
ARG,1947,16.16381
ARG,1948,20.9431
ARG,1949,18.25442
ARG,1950,24.42767
ARG,1951,19.0571
ARG,1952,8.2176
ARG,1953,11.57096
ARG,1954,10.1444
ARG,1955,21.96219
ARG,1956,18.60938
ARG,1957,15.64883
ARG,1958,19.08313
ARG,1959,11.4593
ARG,1960,9.50672
ARG,1961,6.96816
ARG,1962,9.75147
ARG,1963,8.17852
ARG,1964,5.89963
ARG,1965,5.58186
ARG,1966,5.92047
ARG,1967,7.02346
ARG,1968,5.91871
ARG,1969,5.85308
ARG,1970,6.54746
ARG,1971,5.90911
ARG,1972,6.18667
ARG,1973,6.68895
ARG,1974,5.70839
ARG,1975,5.85713
ARG,1976,7.75622
ARG,1977,10.02706
ARG,1978,11.43576
ARG,1979,11.82257
ARG,1980,10.42703
ARG,1981,12.71847
ARG,1982,10.0918
ARG,1983,8.36373
ARG,1984,11.38883
ARG,1985,10.83797
ARG,1986,7.08226
ARG,1987,6.96218
ARG,1988,8.23785
ARG,1989,15.30207
ARG,1990,9.41384
